taxonID,taxonRank,scientificName,establishmentMeans,genus,family,order,class,phylum,kingdom,datasetName
NZOR-3-56928,species,Peziza macropus,,,,,,,,New Zealand Organism Register
NZOR-3-86067,species,Macroscyphus macropus,,,,,,,,New Zealand Organism Register
CoL:10149127,species,Corynophrya macropus,,Corynophrya,Corynophryidae,,,,,Catalogue of Life
NZOR-3-22479,species,Epilobium macropus,native,,,,,,,New Zealand Organism Register
http://id.biodiversity.org.au/name/apni/85990,subspecies,Dendrobium macropus subsp. macropus,,,,,,,Plantae,Australian Plant Name Index
NZOR-3-65145,species,Helvella macropus,,,,,,,,New Zealand Organism Register
CoL:25601992,species,Cribraria tenella var. macropus,,,,,,,,Catalogue of Life
http://collections.ala.org.au/public/show/dr4985,,,,,,,,,,
http://collections.ala.org.au/public/show/dr4986,,,,,,,,,,
http://collections.ala.org.au/public/show/dr2653,,,,,,,,,,
urn:lsid:biodiversity.org.au:afd.name:319458,species,Testudo macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:371758,species,Trombicula macropus,,,,,,,,Australian Faunal Directory
http://id.biodiversity.org.au/name/apni/85985,subspecies,Dendrobium macropus subsp. gracilicaule,,,,,,,Plantae,Australian Plant Name Index
NZOR-3-78803,species,Ranunculus macropus,native,,,,,,,New Zealand Organism Register
urn:lsid:biodiversity.org.au:afd.name:315739,,Octopus macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:460291,subspecies,Macropus (Petrogale) brachyotis,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:339350,genus,Caristius macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:315739,family,Octopus macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:390073,species,Vespertilio macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:450925,species,Macropus (Halmaturus) parma,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:450926,species,Macropus (Halmaturus) parma,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:393372,species,Chaetopterus macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:464397,species,Chaetopterus variopedatus macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:339350,species,Caristius macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:464219,subspecies,Amphibolurus caudicinctus macropus,,,,,,,,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.name:314437,subspecies,Macropus elegans,,,,,,,,Australian Faunal Directory
http://id.biodiversity.org.au/name/apni/85984,species,Dendrobium macropus,,,,,,,Plantae,Australian Plant Name Index
